country_region,region,continent,iso3c,income_group,pais_region,continente,region_es,grupo_ingreso,pais_nombre_corto
Afghanistan,South Asia,Asia,AFG,Low income,Afganistán,Asia,Asia del Sur,Ingreso bajo,
Albania,Europe & Central Asia,Europe,ALB,Upper middle income,Albania,Europa,Europa y Asia Central,Ingreso medio alto,
Algeria,Middle East & North Africa,Africa,DZA,Upper middle income,Argelia,Africa,Oriente Medio y Africa del Norte,Ingreso medio alto,
Andorra,Europe & Central Asia,Europe,AND,High income,Andorra,Europa,Europa y Asia Central,Ingreso alto,
Angola,Sub-Saharan Africa,Africa,AGO,Lower middle income,Angola,Africa,Africa subsahariana,Ingreso medio bajo,
Antigua and Barbuda,Latin America & Caribbean,Americas,ATG,High income,Antigua y Barbuda,América,América Latina y el Caribe,Ingreso alto,
Argentina,Latin America & Caribbean,Americas,ARG,Upper middle income,Argentina,América,América Latina y el Caribe,Ingreso medio alto,Argentina
Armenia,Europe & Central Asia,Europe,ARM,Upper middle income,Armenia,Europa,Europa y Asia Central,Ingreso medio alto,
Australia,East Asia & Pacific,Oceania,AUS,High income,Australia,Oceanía,Asia oriental y el Pacífico,Ingreso alto,
Austria,Europe & Central Asia,Europe,AUT,High income,Austria,Europa,Europa y Asia Central,Ingreso alto,
Azerbaijan,Europe & Central Asia,Asia,AZE,Upper middle income,Azerbaiyán,Asia,Europa y Asia Central,Ingreso medio alto,
Bahamas,Latin America & Caribbean,Americas,BHS,High income,Bahamas,América,América Latina y el Caribe,Ingreso alto,
Bahrain,Middle East & North Africa,Asia,BHR,High income,Bahrein,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Bangladesh,South Asia,Asia,BGD,Lower middle income,Bangladesh,Asia,Asia del Sur,Ingreso medio bajo,
Barbados,Latin America & Caribbean,Americas,BRB,High income,Barbados,América,América Latina y el Caribe,Ingreso alto,
Belarus,Europe & Central Asia,Europe,BLR,Upper middle income,Belarús,Europa,Europa y Asia Central,Ingreso medio alto,
Belgium,Europe & Central Asia,Europe,BEL,High income,Bélgica,Europa,Europa y Asia Central,Ingreso alto,
Belize,Latin America & Caribbean,Americas,BLZ,Upper middle income,Belice,América,América Latina y el Caribe,Ingreso medio alto,
Benin,Sub-Saharan Africa,Africa,BEN,Low income,Benin,Africa,Africa subsahariana,Ingreso bajo,
Bolivia,Latin America & Caribbean,Americas,BOL,Lower middle income,Bolivia (Estado Plurinacional de),América,América Latina y el Caribe,Ingreso medio bajo,Bolívia
Bosnia and Herzegovina,Europe & Central Asia,Europe,BIH,Upper middle income,Bosnia y Herzegovina,Europa,Europa y Asia Central,Ingreso medio alto,
Botswana,Sub-Saharan Africa,Africa,BWA,Upper middle income,Botswana,Africa,Africa subsahariana,Ingreso medio alto,
Brazil,Latin America & Caribbean,Americas,BRA,Upper middle income,Brasil,América,América Latina y el Caribe,Ingreso medio alto,Brasil
Brunei,South Asia,Asia,BRN,High income,Brunei Darussalam,Asia,Asia del Sur,Ingreso alto,
Bulgaria,Europe & Central Asia,Europe,BGR,Upper middle income,Bulgaria,Europa,Europa y Asia Central,Ingreso medio alto,
Burkina Faso,Sub-Saharan Africa,Africa,BFA,Low income,Burkina Faso,Africa,Africa subsahariana,Ingreso bajo,
Burma,South Asia,Asia,MMR,Lower middle income,Myanmar,Asia,Asia del Sur,Ingreso medio bajo,
Burundi,Sub-Saharan Africa,Africa,BDI,Low income,Burundi,Africa,Africa subsahariana,Ingreso bajo,
Cabo Verde,Sub-Saharan Africa,Africa,CPV,Lower middle income,Cabo Verde,Africa,Africa subsahariana,Ingreso medio bajo,
Cameroon,Sub-Saharan Africa,Africa,CMR,Lower middle income,Camerún,Africa,Africa subsahariana,Ingreso medio bajo,
Canada,North America,Americas,CAN,High income,Canadá,América,América del Norte,Ingreso alto,
Central African Republic,Sub-Saharan Africa,Africa,CAF,Low income,República Centroafricana,Africa,Africa subsahariana,Ingreso bajo,
Chad,Sub-Saharan Africa,Africa,TCD,Low income,Chad,Africa,Africa subsahariana,Ingreso bajo,
Chile,Latin America & Caribbean,Americas,CHL,High income,Chile,América,América Latina y el Caribe,Ingreso alto,Chile
China,East Asia & Pacific,Asia,CHN,Upper middle income,China,Asia,Asia oriental y el Pacífico,Ingreso medio alto,
Colombia,Latin America & Caribbean,Americas,COL,Upper middle income,Colombia,América,América Latina y el Caribe,Ingreso medio alto,Colômbia
Comoros,Sub-Saharan Africa,Africa,COM,Lower middle income,Comoras,Africa,Africa subsahariana,Ingreso medio bajo,
Congo (Brazzaville),Sub-Saharan Africa,Africa,COG,Lower middle income,Congo,Africa,Africa subsahariana,Ingreso medio bajo,
Congo (Kinshasa),Sub-Saharan Africa,Africa,COD,Low income,República Democrática del Congo,Africa,Africa subsahariana,Ingreso bajo,
Costa Rica,Latin America & Caribbean,Americas,CRI,Upper middle income,Costa Rica,América,América Latina y el Caribe,Ingreso medio alto,Costa Rica
Cote d'Ivoire,Sub-Saharan Africa,Africa,CIV,Lower middle income,Côte d'Ivoire,Africa,Africa subsahariana,Ingreso medio bajo,
Croatia,Europe & Central Asia,Europe,HRV,High income,Croacia,Europa,Europa y Asia Central,Ingreso alto,
Cuba,Latin America & Caribbean,Americas,CUB,Upper middle income,Cuba,América,América Latina y el Caribe,Ingreso medio alto,Cuba
Cyprus,Europe & Central Asia,Europe,CYP,High income,Chipre,Europa,Europa y Asia Central,Ingreso alto,
Czechia,Europe & Central Asia,Europe,CZE,High income,República Checa,Europa,Europa y Asia Central,Ingreso alto,
Denmark,Europe & Central Asia,Europe,DNK,High income,Dinamarca,Europa,Europa y Asia Central,Ingreso alto,
Djibouti,Middle East & North Africa,Africa,DJI,Lower middle income,Djibouti,Africa,Oriente Medio y Africa del Norte,Ingreso medio bajo,
Dominican Republic,Latin America & Caribbean,Americas,DOM,Upper middle income,República Dominicana,América,América Latina y el Caribe,Ingreso medio alto,República Dominicana
Ecuador,Latin America & Caribbean,Americas,ECU,Upper middle income,Ecuador,América,América Latina y el Caribe,Ingreso medio alto,Equador
Egypt,Middle East & North Africa,Africa,EGY,Lower middle income,Egipto,Africa,Oriente Medio y Africa del Norte,Ingreso medio bajo,
El Salvador,Latin America & Caribbean,Americas,SLV,Lower middle income,El Salvador,América,América Latina y el Caribe,Ingreso medio bajo,El Salvador
Equatorial Guinea,Sub-Saharan Africa,Africa,GNQ,Upper middle income,Guinea Ecuatorial,Africa,Africa subsahariana,Ingreso medio alto,
Estonia,Europe & Central Asia,Europe,EST,High income,Estonia,Europa,Europa y Asia Central,Ingreso alto,
Eswatini,Sub-Saharan Africa,Africa,SWZ,Lower middle income,Swazilandia,Africa,Africa subsahariana,Ingreso medio bajo,
Ethiopia,Sub-Saharan Africa,Africa,ETH,Low income,Etiopía,Africa,Africa subsahariana,Ingreso bajo,
Finland,Europe & Central Asia,Europe,FIN,High income,Finlandia,Europa,Europa y Asia Central,Ingreso alto,
France,Europe & Central Asia,Europe,FRA,High income,Francia,Europa,Europa y Asia Central,Ingreso alto,
Gabon,Sub-Saharan Africa,Africa,GAB,Upper middle income,Gabón,Africa,Africa subsahariana,Ingreso medio alto,
Gambia,Sub-Saharan Africa,Africa,GMB,Low income,Gambia (República de),Africa,Africa subsahariana,Ingreso bajo,
Georgia,Europe & Central Asia,Europe,GEO,Upper middle income,Georgia,Europa,Europa y Asia Central,Ingreso medio alto,
Germany,Europe & Central Asia,Europe,DEU,High income,Alemania,Europa,Europa y Asia Central,Ingreso alto,
Ghana,Sub-Saharan Africa,Africa,GHA,Lower middle income,Ghana,Africa,Africa subsahariana,Ingreso medio bajo,
